league,match_id,home_team,away_team,selection,p_model,odds,ev,kelly_stake_frac,won
E0,289,Man City,Nott'm Forest,away,0.1316178206147019,7.65,0.006876327702469487,0.00025850856024321376,False
E0,291,Tottenham,Crystal Palace,home,0.4363456002795293,2.34,0.021048704654098582,0.003926997136958671,False
E0,296,West Ham,Man City,away,0.6626936408433401,1.69,0.11995225302524481,0.043460961241030736,False
E0,292,Burnley,Bournemouth,home,0.25174360020781283,4.02,0.012009272835407536,0.0009941451022688359,False
E0,295,Chelsea,Newcastle,away,0.355102381399056,3.86,0.37069519220035607,0.03240342589163952,True
E0,294,Arsenal,Everton,draw,0.22377135490668365,4.56,0.020397378374477304,0.0014324001667470017,False
E0,294,Arsenal,Everton,away,0.12498674068414982,8.83,0.10363292024104287,0.0033088416424343226,False
E0,300,Liverpool,Tottenham,away,0.157225696927042,8.72,0.37100807720380624,0.012014510272143984,False
E0,297,Crystal Palace,Leeds,home,0.6169882675879956,2.49,0.5363007862941092,0.05,False
E0,299,Nott'm Forest,Fulham,away,0.33730644521648967,3.24,0.09287288250142667,0.010365277064891355,False
E0,298,Man United,Aston Villa,draw,0.2574679368715578,4.02,0.03502110622366206,0.0028990981973230274,False
E0,298,Man United,Aston Villa,away,0.3941667969182866,4.38,0.7264505705020952,0.05,False
E0,301,Brentford,Wolves,away,0.23756614480217603,5.68,0.34937570247635974,0.018663231969891014,False
E0,302,Bournemouth,Man United,home,0.4212851082154466,3.22,0.35653804845373815,0.04015068113217773,False
E0,303,Brighton,Liverpool,away,0.5540595446624785,2.22,0.23001218915070254,0.047133645317766884,False
E0,304,Fulham,Burnley,away,0.18384161279598374,6.22,0.14349483159101872,0.00687235783481891,False
E0,306,Leeds,Brentford,away,0.5577699719314696,2.77,0.5450228222501707,0.05,False
E0,308,Aston Villa,West Ham,home,0.5520186733668477,1.95,0.07643641306535298,0.020114845543513973,True
E0,309,Tottenham,Nott'm Forest,home,0.46237117632391034,2.24,0.035711434965559175,0.007199886081765984,False
E0,310,West Ham,Wolves,away,0.3205392143926493,4.34,0.3911401904640981,0.0292769603640792,False
E0,314,Liverpool,Fulham,home,0.6620804281883003,1.62,0.07257029366504653,0.029262215187518734,True
E0,313,Burnley,Brighton,home,0.22969336618254899,4.48,0.029026280497819634,0.0020852213001307128,False
